Warren_Truss				% Your Names (use _ for spaces)
28					% Number of Nodes
61					% Number of Elements

Node position
number	xvalue	yvalue

1	0	0
2	20	0
3	40	0
4	60	0
5	80	0
6	100	0
7	120	0
8	140	0
9	160	0
10	180	0

11	10	52
12	30	52
13	50	52
14	70	52
15	90	52
16	110	52
17	130	52
18	150	52
19	170	52

20	10	-52
21	30	-52
22	50	-52
23	70	-52
24	90	-52
25	110	-52
26	130	-52
27	150	-52
28	170	-52


Elements
number node1	node2	

1	1	2
2	2	3
3	3	4
4	4	5
5	5	6
6	6	7
7	7	8
8	8	9
9	9	10

10	11	12
11	12	13
12	13	14
13	14	15
14	15	16
15	16	17
16	17	18
17	18	19

18	20	21
19	21	22
20	22	23
21	23	24
22	24	25
23	25	26
24	26	27
25	27	28

26	1	11
27	11	2
28	2	12
29	12	3
30	3	13
31	13	4
32	4	14
33	14	5
34	5	15
35	15	6
36	6	16
37	16	7
38	7	17
39	17	8
40	8	18
41	18	9
42	9	19
43	19	10

44	1	20	
45	20	2
46	2	21
47	21	3
48	3	22
49	22	4
50	4	23
51	23	5
52	5	24
53	24	6
54	6	25
55	25	7
56	7	26
57	26	8
58	8	27
59	27	9
60	9	28
61	28	10
	
	


Displacements
4			% Number of displacement boundary conditions
node#	(x=1,y=2)	value
1	1	0
1	2	0
10	1	0
10	2	0
